mgi_symbol	ensembl_gene_id	external_gene_name
C330007P06Rik	ENSMUSG00000006423	C330007P06Rik
A530013C23Rik	ENSMUSG00000006462	A530013C23Rik
Slc34a3	ENSMUSG00000006469	Slc34a3
Ndor1	ENSMUSG00000006471	Ndor1
Nsmf	ENSMUSG00000006476	Nsmf
Pdk1	ENSMUSG00000006494	Pdk1
Ihh	ENSMUSG00000006538	Ihh
Prkag3	ENSMUSG00000006542	Prkag3
Cryba2	ENSMUSG00000006546	Cryba2
Slc4a3	ENSMUSG00000006576	Slc4a3
Pola1	ENSMUSG00000006678	Pola1
Sulf2	ENSMUSG00000006800	Sulf2
Atp1a2	ENSMUSG00000007097	Atp1a2
Atp1a4	ENSMUSG00000007107	Atp1a4
Casq1	ENSMUSG00000007122	Casq1
Lrrc8a	ENSMUSG00000007476	Lrrc8a
Bcl2l1	ENSMUSG00000007659	Bcl2l1
Twist2	ENSMUSG00000007805	Twist2
Mid1ip1	ENSMUSG00000008035	Mid1ip1
Fhl2	ENSMUSG00000008136	Fhl2
Fnbp4	ENSMUSG00000008200	Fnbp4
Scrn3	ENSMUSG00000008226	Scrn3
Snrpb2	ENSMUSG00000008333	Snrpb2
Arpc5	ENSMUSG00000008475	Arpc5
Rpl10	ENSMUSG00000008682	Rpl10
Bmp7	ENSMUSG00000008999	Bmp7
Pdcl	ENSMUSG00000009030	Pdcl
Lnpk	ENSMUSG00000009207	Lnpk
Mymk	ENSMUSG00000009214	Mymk
Fam163b	ENSMUSG00000009216	Fam163b
Elk1	ENSMUSG00000009406	Elk1
Nav1	ENSMUSG00000009418	Nav1
Srp14	ENSMUSG00000009549	Srp14
6330409D20Rik	ENSMUSG00000009551	6330409D20Rik
Cdk9	ENSMUSG00000009555	Cdk9
Tor2a	ENSMUSG00000009563	Tor2a
Fpgs	ENSMUSG00000009566	Fpgs
Sardh	ENSMUSG00000009614	Sardh
Vav2	ENSMUSG00000009621	Vav2
G0s2	ENSMUSG00000009633	G0s2
Tex11	ENSMUSG00000009670	Tex11
Kcnd1	ENSMUSG00000009731	Kcnd1
Nuak2	ENSMUSG00000009772	Nuak2
Cox4i2	ENSMUSG00000009876	Cox4i2
Kdsr	ENSMUSG00000009905	Kdsr
Vps4b	ENSMUSG00000009907	Vps4b
Taz	ENSMUSG00000009995	Taz
Prox1	ENSMUSG00000010175	Prox1
AI597479	ENSMUSG00000010290	AI597479
Optc	ENSMUSG00000010311	Optc
Kansl3	ENSMUSG00000010453	Kansl3
Uckl1os	ENSMUSG00000010492	Uckl1os
Myt1	ENSMUSG00000010505	Myt1
Psen2	ENSMUSG00000010609	Psen2
Apip	ENSMUSG00000010911	Apip
Pdhx	ENSMUSG00000010914	Pdhx
Mogat1	ENSMUSG00000012187	Mogat1
Ehf	ENSMUSG00000012350	Ehf
Slc41a1	ENSMUSG00000013275	Slc41a1
Fer1l4	ENSMUSG00000013338	Fer1l4
Nelfb	ENSMUSG00000013465	Nelfb
Bcas1	ENSMUSG00000013523	Bcas1
Ndufs2	ENSMUSG00000013593	Ndufs2
Pea15a	ENSMUSG00000013698	Pea15a
Dedd	ENSMUSG00000013973	Dedd
Nit1	ENSMUSG00000013997	Nit1
Chp1	ENSMUSG00000014077	Chp1
Cacybp	ENSMUSG00000014226	Cacybp
Tmem87b	ENSMUSG00000014353	Tmem87b
Anapc1	ENSMUSG00000014355	Anapc1
Mertk	ENSMUSG00000014361	Mertk
Kif1a	ENSMUSG00000014602	Kif1a
Adamts13	ENSMUSG00000014852	Adamts13
Surf4	ENSMUSG00000014867	Surf4
Surf2	ENSMUSG00000014873	Surf2
Gorasp2	ENSMUSG00000014959	Gorasp2
Tsen15	ENSMUSG00000014980	Tsen15
C8g	ENSMUSG00000015083	C8g
Entpd2	ENSMUSG00000015085	Entpd2
Rabl6	ENSMUSG00000015087	Rabl6
Ptgds	ENSMUSG00000015090	Ptgds
Edf1	ENSMUSG00000015092	Edf1
Clic3	ENSMUSG00000015093	Clic3
Npdc1	ENSMUSG00000015094	Npdc1
Fbxw5	ENSMUSG00000015095	Fbxw5
Mtmr1	ENSMUSG00000015214	Mtmr1
Hmgb3	ENSMUSG00000015217	Hmgb3
Map2	ENSMUSG00000015222	Map2
Lage3	ENSMUSG00000015289	Lage3
Ubl4a	ENSMUSG00000015290	Ubl4a
Gdi1	ENSMUSG00000015291	Gdi1
Slamf6	ENSMUSG00000015314	Slamf6
Slamf1	ENSMUSG00000015316	Slamf1
Zdhhc12	ENSMUSG00000015335	Zdhhc12
Endog	ENSMUSG00000015337	Endog
Cybb	ENSMUSG00000015340	Cybb
Xk	ENSMUSG00000015342	Xk
Cd48	ENSMUSG00000015355	Cd48
Fam163a	ENSMUSG00000015484	Fam163a
Cacfd1	ENSMUSG00000015488	Cacfd1
Gata3	ENSMUSG00000015619	Gata3
Gata5	ENSMUSG00000015627	Gata5
Lama5	ENSMUSG00000015647	Lama5
Awat1	ENSMUSG00000015665	Awat1
Pdzd11	ENSMUSG00000015668	Pdzd11
Med22	ENSMUSG00000015776	Med22
Abo	ENSMUSG00000015787	Abo
Surf1	ENSMUSG00000015790	Surf1
Tnr	ENSMUSG00000015829	Tnr
Nfe2l2	ENSMUSG00000015839	Nfe2l2
Rxrg	ENSMUSG00000015843	Rxrg
Rxra	ENSMUSG00000015846	Rxra
Dstn	ENSMUSG00000015932	Dstn
Adss	ENSMUSG00000015961	Adss
1700016C15Rik	ENSMUSG00000015962	1700016C15Rik
Lbp	ENSMUSG00000016024	Lbp
Tenm1	ENSMUSG00000016150	Tenm1
