	p_val	avg_logFC	pct.1	pct.2	p_val_adj	which_high
Rpl3	0	0.695823388079456	0.998	0.958	0	Astroependymal
Rpl8	0	0.694990353222099	0.997	0.975	0	Astroependymal
Rps28	0	0.693657993625679	0.998	0.971	0	Astroependymal
Rpl28	0	0.693549722394758	0.998	0.942	0	Astroependymal
Mrpl52	0	0.691854976773743	0.975	0.754	0	Astroependymal
Plod3	0	0.690854573788489	0.68	0.204	0	Astroependymal
Rpl15	0	0.690513286762154	0.995	0.94	0	Astroependymal
Lrrfip1	0	0.68898937409876	0.608	0.113	0	Astroependymal
Sgk1	0	0.687182101977763	0.652	0.184	0	Astroependymal
Prmt1	0	0.67468674249343	0.898	0.468	0	Astroependymal
Rpl10a	0	0.672880226333033	0.992	0.93	0	Astroependymal
Rpl36a	0	0.665882485908664	0.996	0.951	0	Astroependymal
Arhgdia	0	0.653859847747787	0.893	0.456	0	Astroependymal
Tubb6	0	0.647639307169731	0.51	0.044	0	Astroependymal
Rpl11	0	0.646962272357255	0.998	0.98	0	Astroependymal
Rps17	0	0.645709886497976	0.999	0.974	0	Astroependymal
Mettl1	0	0.64570086536515	0.67	0.149	0	Astroependymal
Rps10	0	0.644627343967742	0.997	0.957	0	Astroependymal
Rps3	0	0.644088760937669	0.998	0.975	0	Astroependymal
Rps4x	0	0.643693967867142	0.997	0.962	0	Astroependymal
Rpl37	0	0.640047959283764	1	0.992	0	Astroependymal
Rplp2	0	0.634937098870711	0.999	0.984	0	Astroependymal
Tagln2	0	0.631866009901166	0.99	0.863	0	Astroependymal
Rps15	0	0.630840502606019	0.998	0.972	0	Astroependymal
Rps20	0	0.630350255160526	0.998	0.934	0	Astroependymal
Rps8	0	0.630243499223762	1	0.994	0	Astroependymal
Plaur	0	0.627382782140157	0.487	0.036	0	Astroependymal
Rpl24	0	0.626289174770325	0.998	0.981	0	Astroependymal
Rpl26	0	0.618574133183832	0.999	0.987	0	Astroependymal
Rps3a1	0	0.603231928084889	0.999	0.97	0	Astroependymal
Ppia	0	0.601017647347361	1	0.99	0	Astroependymal
Rps27a	0	0.599393393592474	0.999	0.982	0	Astroependymal
Septin11	0	0.596535697901939	0.533	0.075	0	Astroependymal
Cfl1	0	0.589016560083369	0.995	0.881	0	Astroependymal
Rps25	0	0.582076697720781	0.999	0.975	0	Astroependymal
Rpl27	0	0.575782783440475	0.996	0.937	0	Astroependymal
Eef1a1	0	0.56870511493767	0.998	0.983	0	Astroependymal
Snhg6	0	0.562701265376905	0.624	0.155	0	Astroependymal
Gale	0	0.559954278773506	0.472	0.034	0	Astroependymal
Rpl21	0	0.554771902446013	0.999	0.988	0	Astroependymal
Rps24	0	0.554198995807532	0.999	0.968	0	Astroependymal
