	p_val	avg_logFC	pct.1	pct.2	p_val_adj	which_high
Fosl1	2.2495700307951e-166	-0.493756323242707	0.036	0.455	7.46339849116890e-162	OPC-B
Rps13	1.90072774979586e-165	-0.538905941570671	0.982	0.994	6.30604445549771e-161	OPC-B
Clic1	3.49678971675047e-165	-1.02388117045466	0.568	0.933	1.1601299243263e-160	OPC-B
Bcan	1.25164620439331e-164	1.25987519584817	0.803	0.389	4.15258661231567e-160	OPC-A
Hmga1	4.8132704907322e-164	-0.516596325740254	0.073	0.532	1.59689875071022e-159	OPC-B
Rplp2	1.15122310641631e-163	-0.632515435175136	0.979	0.996	3.81941290015739e-159	OPC-B
Rpl24	1.32440705408886e-163	-0.5428076191977	0.988	1	4.39398528335061e-159	OPC-B
Pabpc1	1.64274415053766e-163	-0.817394423286474	0.703	0.955	5.45013226823879e-159	OPC-B
Pllp	7.88741746295301e-163	1.20358589926967	0.924	0.7	2.61680849168392e-158	OPC-A
Gria2	1.92906167107695e-162	1.23860664024031	0.804	0.478	6.40004790613199e-158	OPC-A
Rpl9	2.70749707586092e-162	-0.533916967328607	0.985	0.997	8.98266304858379e-158	OPC-B
Ran	4.60870012545787e-161	-0.655318126603861	0.888	0.988	1.52902844062316e-156	OPC-B
Emp1	1.23676353846588e-160	-0.648470007974256	0.09	0.561	4.10321039156824e-156	OPC-B
Klk9	3.52860859386821e-160	-1.04243531410556	0.03	0.423	1.17068647318766e-155	OPC-B
Rps25	3.48137074657591e-158	-0.550437916274837	0.976	0.994	1.15501437259149e-153	OPC-B
Rpl29	4.47929309805847e-157	-0.614055224892345	0.969	0.997	1.48609507114286e-152	OPC-B
Lmna	7.15926625379963e-157	-0.677833509928102	0.243	0.773	2.3752297650231e-152	OPC-B
Neu4	1.8394725274539e-156	1.30150512156687	0.71	0.191	6.1028180043338e-152	OPC-A
Rpl17	4.60468910980277e-156	-0.589303685071919	0.978	0.999	1.52769770595927e-151	OPC-B
Zbtb20	4.80555757518049e-156	0.994118450109421	0.916	0.794	1.59433983671763e-151	OPC-A
Tsc22d1	3.0086554026665e-155	0.923130963312531	0.981	0.907	9.98181602942666e-151	OPC-A
Arpc1b	3.86444364576543e-155	-0.876507835824427	0.55	0.952	1.2821064683556e-150	OPC-B
Ezr	4.378556557544e-155	-0.607952076004684	0.049	0.459	1.45267370909637e-150	OPC-B
Tspan3	3.33854798614593e-154	0.67051012645547	0.983	0.95	1.10763006536364e-149	OPC-A
Rps9	5.6863591705991e-154	-0.586942954995754	0.982	0.999	1.88656338202966e-149	OPC-B
Rpl39	9.70501444419234e-154	-0.597308725207518	0.983	0.996	3.21983264214969e-149	OPC-B
Rps15	1.4914559199269e-153	-0.573595432864904	0.977	0.999	4.94820330554148e-149	OPC-B
Rps5	1.87585351983643e-153	-0.611660022496592	0.986	0.997	6.22351922276133e-149	OPC-B
Sv2c	5.75049944273512e-153	-0.793026952661095	0.155	0.655	1.90784320011623e-148	OPC-B
Marcks	1.0691203014238e-152	1.15234624533199	0.948	0.893	3.54702042403373e-148	OPC-A
Rpl11	2.65537731389253e-152	-0.486566255624699	0.988	0.997	8.80974531430125e-148	OPC-B
Rpl6	1.13066477083754e-151	-0.536594364083586	0.987	1	3.7512065102077e-147	OPC-B
Rplp0	2.45942600090217e-150	-0.724058650146716	0.977	0.999	8.15963764319314e-146	OPC-B
Tnc	7.11704274801651e-150	-0.916588854083644	0.115	0.577	2.36122127250944e-145	OPC-B
Pdlim4	4.6928431118716e-147	-0.878665225247111	0.195	0.705	1.55694455922564e-142	OPC-B
Rps24	5.2198971234706e-147	-0.551706806155912	0.976	0.995	1.73180526865384e-142	OPC-B
Rpl22l1	6.83651854057564e-147	-0.619234028580542	0.912	0.995	2.26815175620678e-142	OPC-B
Rps4x	1.5796770825061e-146	-0.57759655480017	0.974	0.997	5.24089465663049e-142	OPC-B
Serpine1	2.06323482599465e-146	-0.82794472141227	0.052	0.454	6.84519418220246e-142	OPC-B
Itga5	6.80227555121181e-146	-0.449816939957582	0.027	0.39	2.25679095962554e-141	OPC-B
Eif4a1	1.44712694851046e-145	-0.646552736797857	0.923	0.99	4.80113307707316e-141	OPC-B
Rpl14	2.95898625096098e-145	-0.685330511529294	0.98	0.996	9.81702868481325e-141	OPC-B
Rpl36	3.36876476062701e-145	-0.547311103155236	0.984	0.995	1.11765508463322e-140	OPC-B
Rpl41	6.04821393427453e-144	-0.793489480780367	0.994	1	2.00661593697426e-139	OPC-B
Nme1	8.09995067166548e-144	-0.607827006933097	0.91	0.991	2.68732063433846e-139	OPC-B
Rpl3	1.13363995655199e-143	-0.582235833552648	0.978	0.997	3.76107728385253e-139	OPC-B
Fabp7	1.09137676986672e-141	0.91430057711784	0.948	0.689	3.62086070938683e-137	OPC-A
Lgals1	6.18869172576018e-141	-1.75863774147138	0.362	0.803	2.05322225385545e-136	OPC-B
Dhrs1	2.08105747882291e-139	-1.11038262251092	0.55	0.881	6.90432439749078e-135	OPC-B
Rpl21	2.82503691305857e-139	-0.531466886170457	0.985	1	9.37262496645441e-135	OPC-B
Rpl26	2.82561343789467e-139	-0.535139710178842	0.989	1	9.37453770290316e-135	OPC-B
Fau	3.43864859568883e-139	-0.475984592922072	0.982	0.995	1.14084044459168e-134	OPC-B
Mt2	1.32527972044792e-138	-1.13335895060383	0.623	0.957	4.39688052853007e-134	OPC-B
Plec	3.7458419347455e-138	-0.659224954088081	0.175	0.637	1.24275797869051e-133	OPC-B
Tpm4	4.24032898538035e-138	-0.699587242232133	0.411	0.854	1.40681394747964e-133	OPC-B
Rps27a	4.30389735033265e-138	-0.503421972027425	0.99	1	1.42790402391986e-133	OPC-B
Eef1b2	1.30438578287843e-137	-0.606169959751051	0.83	0.972	4.32756071185577e-133	OPC-B
Txn1	1.32478284829815e-137	-0.652983412046271	0.845	0.979	4.39523205579876e-133	OPC-B
Plod3	1.26906419453093e-136	-0.831799344195419	0.268	0.711	4.21037427819526e-132	OPC-B
Nxph1	2.30588676351635e-136	0.970159746753223	0.742	0.347	7.6502405153182e-132	OPC-A
Tuba1b	1.40237260965922e-135	-0.896433627816919	0.79	0.966	4.65265160706639e-131	OPC-B
Cd63	3.09759654235214e-135	-0.749627730408053	0.894	0.982	1.02768960485617e-130	OPC-B
Npm1	1.71374140296625e-134	-0.611805230045466	0.91	0.979	5.68567985262111e-130	OPC-B
Itm2c	6.58634157424937e-134	0.86146169004834	0.899	0.746	2.18515054408871e-129	OPC-A
S100b	7.68130768998695e-134	0.878343880081671	0.955	0.774	2.54842745230697e-129	OPC-A
Dlk1	8.50677060475325e-134	-1.17695903006994	0.03	0.374	2.82229128353899e-129	OPC-B
Pfn1	1.96900359218757e-133	-0.688203652929064	0.913	0.988	6.53256321780069e-129	OPC-B
Syt11	2.05975657133533e-132	0.724178253328977	0.937	0.884	6.83365437671923e-128	OPC-A
Cst3	2.45668816854989e-132	0.652601533997377	0.994	0.983	8.15055433679797e-128	OPC-A
Slc22a17	2.00881811117667e-131	0.986269715580004	0.813	0.606	6.66465584745083e-127	OPC-A
Eef1a1	9.4357721563783e-131	-0.514047780131028	0.992	1	3.13050612832163e-126	OPC-B
Glipr2	9.57959208756658e-131	-0.382403445344417	0.023	0.349	3.17822126689197e-126	OPC-B
Tnr	6.29024863184919e-130	0.873523964455199	0.9	0.79	2.08691578858861e-125	OPC-A
Nes	6.33740586453017e-130	-0.587213898488617	0.109	0.53	2.10256114367518e-125	OPC-B
Lsamp	1.04874750052345e-129	0.840488678392425	0.815	0.606	3.47942958248664e-125	OPC-A
Upp1	1.75240862257029e-129	-0.562090786914014	0.044	0.398	5.81396608710147e-125	OPC-B
Rpl7	1.18097738683934e-128	-0.51670784508865	0.964	0.995	3.91812867631687e-124	OPC-B
Slc25a5	1.00492660909341e-127	-0.579665410279748	0.886	0.978	3.33404501098922e-123	OPC-B
Rasl11a	1.15250739128243e-127	-1.22077476285813	0.24	0.688	3.82367377205771e-123	OPC-B
Rps28	1.0657661489285e-126	-0.515358878461595	0.983	0.996	3.53589235230008e-122	OPC-B
Armh4	3.85862062575294e-126	0.957096261255704	0.731	0.361	1.28017456500605e-121	OPC-A
Ranbp1	7.05130108690048e-126	-0.622981820760798	0.831	0.973	2.33941016160097e-121	OPC-B
Plaur	1.21768693971196e-125	-0.452123383604648	0.059	0.429	4.03991995988236e-121	OPC-B
Aldoc	1.27968480143248e-125	1.11636343137981	0.855	0.691	4.24561026571255e-121	OPC-A
Snx1	1.68269726737448e-125	0.807368959576238	0.852	0.701	5.58268472396832e-121	OPC-A
Luzp2	2.19742411126445e-125	0.958508979512427	0.783	0.509	7.29039397394208e-121	OPC-A
Rpl10a	4.01274747427864e-125	-0.526853124540914	0.96	0.991	1.33130922954142e-120	OPC-B
Rpl7a	4.71266160967161e-125	-0.447626983915497	0.963	0.988	1.56351974224075e-120	OPC-B
Rpl15	8.6344832685305e-125	-0.516829500226842	0.973	0.997	2.86466251400036e-120	OPC-B
Snhg6	1.13392847307344e-124	-0.680111615419912	0.461	0.881	3.76203449511574e-120	OPC-B
Sphk1	1.15631256487881e-124	-0.492260531857761	0.102	0.515	3.83629819649844e-120	OPC-B
Rpl38	2.99096438714668e-124	-0.498793370094615	0.983	0.999	9.92312254723654e-120	OPC-B
Rps6	3.34678392754437e-124	-0.617246061433313	0.972	0.997	1.1103625036414e-119	OPC-B
Nrxn2	5.21614297934923e-123	0.800263681836704	0.849	0.731	1.73055975625869e-118	OPC-A
Pdgfra	5.34499486004949e-123	0.924440878520665	0.891	0.816	1.77330894471862e-118	OPC-A
Rpl35a	8.4040577140879e-122	-0.470360039027794	0.987	0.999	2.78821422780294e-117	OPC-B
Rpl27	1.39380047904926e-121	-0.447586414500385	0.967	0.997	4.62421184934173e-117	OPC-B
