"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:BP","system development","GO:0048731","3.240033356995766e-11","10.489450518594431","4897","188","91","21354","ENSMUSG00000052684,ENSMUSG00000036353,ENSMUSG00000020423,ENSMUSG00000021250,ENSMUSG00000054675,ENSMUSG00000027447,ENSMUSG00000029343,ENSMUSG00000054364,ENSMUSG00000018593,ENSMUSG00000024621,ENSMUSG00000030124,ENSMUSG00000020101,ENSMUSG00000052336,ENSMUSG00000064373,ENSMUSG00000044786,ENSMUSG00000020009,ENSMUSG00000052837,ENSMUSG00000052160,ENSMUSG00000031785,ENSMUSG00000030737,ENSMUSG00000026473,ENSMUSG00000069662,ENSMUSG00000047250,ENSMUSG00000037706,ENSMUSG00000021665,ENSMUSG00000038418,ENSMUSG00000005583,ENSMUSG00000031613,ENSMUSG00000032554,ENSMUSG00000055148,ENSMUSG00000038872,ENSMUSG00000053560,ENSMUSG00000026628,ENSMUSG00000007613,ENSMUSG00000038393,ENSMUSG00000026365,ENSMUSG00000045730,ENSMUSG00000079227,ENSMUSG00000026360,ENSMUSG00000026425,ENSMUSG00000031665,ENSMUSG00000029810,ENSMUSG00000001270,ENSMUSG00000029204,ENSMUSG00000035133,ENSMUSG00000045672,ENSMUSG00000027947,ENSMUSG00000008496,ENSMUSG00000045817,ENSMUSG00000005360,ENSMUSG00000030557,ENSMUSG00000014361,ENSMUSG00000020709,ENSMUSG00000036478,ENSMUSG00000032010,ENSMUSG00000055435,ENSMUSG00000053580,ENSMUSG00000020181,ENSMUSG00000020898,ENSMUSG00000000628,ENSMUSG00000037405,ENSMUSG00000026288,ENSMUSG00000025993,ENSMUSG00000028859,ENSMUSG00000039206,ENSMUSG00000022540,ENSMUSG00000025880,ENSMUSG00000030671,ENSMUSG00000000753,ENSMUSG00000003644,ENSMUSG00000023367,ENSMUSG00000037876,ENSMUSG00000048490,ENSMUSG00000019960,ENSMUSG00000064023,ENSMUSG00000016494,ENSMUSG00000042106,ENSMUSG00000003032,ENSMUSG00000051212,ENSMUSG00000073599,ENSMUSG00000041417,ENSMUSG00000018654,ENSMUSG00000019970,ENSMUSG00000066975,ENSMUSG00000022462,ENSMUSG00000048546,ENSMUSG00000034041,ENSMUSG00000022528,ENSMUSG00000034957,ENSMUSG00000030256,ENSMUSG00000022893"
"GO:BP","hematopoietic or lymphoid organ development","GO:0048534","2.458186933144051e-10","9.609385094213582","955","188","36","21354","ENSMUSG00000052684,ENSMUSG00000021250,ENSMUSG00000024621,ENSMUSG00000030124,ENSMUSG00000020101,ENSMUSG00000044786,ENSMUSG00000052837,ENSMUSG00000052160,ENSMUSG00000037706,ENSMUSG00000038418,ENSMUSG00000005583,ENSMUSG00000032554,ENSMUSG00000055148,ENSMUSG00000007613,ENSMUSG00000029810,ENSMUSG00000029204,ENSMUSG00000027947,ENSMUSG00000008496,ENSMUSG00000045817,ENSMUSG00000014361,ENSMUSG00000020898,ENSMUSG00000026288,ENSMUSG00000025993,ENSMUSG00000028859,ENSMUSG00000022540,ENSMUSG00000025880,ENSMUSG00000023367,ENSMUSG00000016494,ENSMUSG00000003032,ENSMUSG00000051212,ENSMUSG00000041417,ENSMUSG00000018654,ENSMUSG00000048546,ENSMUSG00000034041,ENSMUSG00000022528,ENSMUSG00000034957"
"GO:BP","multicellular organism development","GO:0007275","4.201140736889092e-10","9.376632769490204","5474","188","95","21354","ENSMUSG00000052684,ENSMUSG00000036353,ENSMUSG00000020423,ENSMUSG00000021250,ENSMUSG00000054675,ENSMUSG00000027447,ENSMUSG00000029343,ENSMUSG00000054364,ENSMUSG00000018593,ENSMUSG00000024621,ENSMUSG00000030124,ENSMUSG00000020101,ENSMUSG00000052336,ENSMUSG00000064373,ENSMUSG00000044786,ENSMUSG00000020009,ENSMUSG00000052837,ENSMUSG00000052160,ENSMUSG00000031785,ENSMUSG00000030737,ENSMUSG00000026473,ENSMUSG00000069662,ENSMUSG00000047250,ENSMUSG00000037706,ENSMUSG00000021665,ENSMUSG00000038418,ENSMUSG00000005583,ENSMUSG00000031613,ENSMUSG00000032554,ENSMUSG00000055148,ENSMUSG00000038872,ENSMUSG00000053560,ENSMUSG00000026628,ENSMUSG00000007613,ENSMUSG00000038393,ENSMUSG00000026365,ENSMUSG00000045730,ENSMUSG00000079227,ENSMUSG00000026360,ENSMUSG00000026425,ENSMUSG00000031665,ENSMUSG00000029810,ENSMUSG00000001270,ENSMUSG00000029204,ENSMUSG00000035133,ENSMUSG00000038235,ENSMUSG00000045672,ENSMUSG00000027947,ENSMUSG00000008496,ENSMUSG00000045817,ENSMUSG00000005360,ENSMUSG00000030557,ENSMUSG00000014361,ENSMUSG00000020709,ENSMUSG00000079110,ENSMUSG00000036478,ENSMUSG00000032010,ENSMUSG00000055435,ENSMUSG00000053580,ENSMUSG00000020181,ENSMUSG00000020898,ENSMUSG00000000628,ENSMUSG00000037405,ENSMUSG00000026288,ENSMUSG00000025993,ENSMUSG00000028859,ENSMUSG00000039206,ENSMUSG00000024190,ENSMUSG00000022540,ENSMUSG00000025880,ENSMUSG00000030671,ENSMUSG00000000753,ENSMUSG00000003644,ENSMUSG00000023367,ENSMUSG00000037876,ENSMUSG00000048490,ENSMUSG00000019960,ENSMUSG00000064023,ENSMUSG00000016494,ENSMUSG00000042106,ENSMUSG00000003032,ENSMUSG00000051212,ENSMUSG00000073599,ENSMUSG00000041417,ENSMUSG00000018654,ENSMUSG00000019970,ENSMUSG00000066975,ENSMUSG00000022462,ENSMUSG00000028291,ENSMUSG00000048546,ENSMUSG00000034041,ENSMUSG00000022528,ENSMUSG00000034957,ENSMUSG00000030256,ENSMUSG00000022893"
"GO:BP","immune system development","GO:0002520","1.5747784605637833e-9","8.802780534015326","1017","188","36","21354","ENSMUSG00000052684,ENSMUSG00000021250,ENSMUSG00000024621,ENSMUSG00000030124,ENSMUSG00000020101,ENSMUSG00000044786,ENSMUSG00000052837,ENSMUSG00000052160,ENSMUSG00000037706,ENSMUSG00000038418,ENSMUSG00000005583,ENSMUSG00000032554,ENSMUSG00000055148,ENSMUSG00000007613,ENSMUSG00000029810,ENSMUSG00000029204,ENSMUSG00000027947,ENSMUSG00000008496,ENSMUSG00000045817,ENSMUSG00000014361,ENSMUSG00000020898,ENSMUSG00000026288,ENSMUSG00000025993,ENSMUSG00000028859,ENSMUSG00000022540,ENSMUSG00000025880,ENSMUSG00000023367,ENSMUSG00000016494,ENSMUSG00000003032,ENSMUSG00000051212,ENSMUSG00000041417,ENSMUSG00000018654,ENSMUSG00000048546,ENSMUSG00000034041,ENSMUSG00000022528,ENSMUSG00000034957"
"GO:BP","hemopoiesis","GO:0030097","1.6374117049921783e-9","8.7858421093933","909","188","34","21354","ENSMUSG00000052684,ENSMUSG00000021250,ENSMUSG00000024621,ENSMUSG00000030124,ENSMUSG00000020101,ENSMUSG00000044786,ENSMUSG00000052837,ENSMUSG00000052160,ENSMUSG00000037706,ENSMUSG00000038418,ENSMUSG00000005583,ENSMUSG00000032554,ENSMUSG00000055148,ENSMUSG00000029810,ENSMUSG00000029204,ENSMUSG00000027947,ENSMUSG00000008496,ENSMUSG00000045817,ENSMUSG00000014361,ENSMUSG00000020898,ENSMUSG00000026288,ENSMUSG00000028859,ENSMUSG00000022540,ENSMUSG00000025880,ENSMUSG00000023367,ENSMUSG00000016494,ENSMUSG00000003032,ENSMUSG00000051212,ENSMUSG00000041417,ENSMUSG00000018654,ENSMUSG00000048546,ENSMUSG00000034041,ENSMUSG00000022528,ENSMUSG00000034957"
"GO:BP","regulation of multicellular organismal process","GO:0051239","2.2050049131595325e-9","8.656590438506484","2773","188","62","21354","ENSMUSG00000052684,ENSMUSG00000021250,ENSMUSG00000054675,ENSMUSG00000027447,ENSMUSG00000054364,ENSMUSG00000018593,ENSMUSG00000024621,ENSMUSG00000030124,ENSMUSG00000020101,ENSMUSG00000052336,ENSMUSG00000044786,ENSMUSG00000020009,ENSMUSG00000052160,ENSMUSG00000026473,ENSMUSG00000047250,ENSMUSG00000038642,ENSMUSG00000037706,ENSMUSG00000028581,ENSMUSG00000038418,ENSMUSG00000005583,ENSMUSG00000032554,ENSMUSG00000055148,ENSMUSG00000007613,ENSMUSG00000045730,ENSMUSG00000079227,ENSMUSG00000026360,ENSMUSG00000029919,ENSMUSG00000029810,ENSMUSG00000029204,ENSMUSG00000038235,ENSMUSG00000024349,ENSMUSG00000027947,ENSMUSG00000008496,ENSMUSG00000045817,ENSMUSG00000030557,ENSMUSG00000014361,ENSMUSG00000079110,ENSMUSG00000036478,ENSMUSG00000032010,ENSMUSG00000055435,ENSMUSG00000030148,ENSMUSG00000020181,ENSMUSG00000000628,ENSMUSG00000037405,ENSMUSG00000026288,ENSMUSG00000028859,ENSMUSG00000025880,ENSMUSG00000030671,ENSMUSG00000000753,ENSMUSG00000023367,ENSMUSG00000019960,ENSMUSG00000064023,ENSMUSG00000016494,ENSMUSG00000003032,ENSMUSG00000073599,ENSMUSG00000041417,ENSMUSG00000019970,ENSMUSG00000028291,ENSMUSG00000048546,ENSMUSG00000022528,ENSMUSG00000030256,ENSMUSG00000022893"
"GO:BP","regulation of multicellular organismal development","GO:2000026","2.3236718723655194e-9","8.633825199036481","1447","188","43","21354","ENSMUSG00000052684,ENSMUSG00000021250,ENSMUSG00000054675,ENSMUSG00000054364,ENSMUSG00000018593,ENSMUSG00000024621,ENSMUSG00000030124,ENSMUSG00000020101,ENSMUSG00000052336,ENSMUSG00000044786,ENSMUSG00000026473,ENSMUSG00000005583,ENSMUSG00000032554,ENSMUSG00000055148,ENSMUSG00000007613,ENSMUSG00000045730,ENSMUSG00000079227,ENSMUSG00000026360,ENSMUSG00000029810,ENSMUSG00000029204,ENSMUSG00000038235,ENSMUSG00000045817,ENSMUSG00000079110,ENSMUSG00000036478,ENSMUSG00000055435,ENSMUSG00000000628,ENSMUSG00000026288,ENSMUSG00000028859,ENSMUSG00000025880,ENSMUSG00000030671,ENSMUSG00000000753,ENSMUSG00000023367,ENSMUSG00000019960,ENSMUSG00000064023,ENSMUSG00000016494,ENSMUSG00000003032,ENSMUSG00000073599,ENSMUSG00000041417,ENSMUSG00000019970,ENSMUSG00000048546,ENSMUSG00000022528,ENSMUSG00000030256,ENSMUSG00000022893"
"GO:BP","animal organ development","GO:0048513","4.964302861904854e-9","8.304141730952166","3628","188","72","21354","ENSMUSG00000052684,ENSMUSG00000036353,ENSMUSG00000020423,ENSMUSG00000021250,ENSMUSG00000054675,ENSMUSG00000027447,ENSMUSG00000029343,ENSMUSG00000018593,ENSMUSG00000024621,ENSMUSG00000030124,ENSMUSG00000020101,ENSMUSG00000064373,ENSMUSG00000044786,ENSMUSG00000052837,ENSMUSG00000052160,ENSMUSG00000031785,ENSMUSG00000030737,ENSMUSG00000047250,ENSMUSG00000037706,ENSMUSG00000038418,ENSMUSG00000005583,ENSMUSG00000031613,ENSMUSG00000032554,ENSMUSG00000055148,ENSMUSG00000038872,ENSMUSG00000026628,ENSMUSG00000007613,ENSMUSG00000038393,ENSMUSG00000026365,ENSMUSG00000045730,ENSMUSG00000026360,ENSMUSG00000026425,ENSMUSG00000031665,ENSMUSG00000029810,ENSMUSG00000001270,ENSMUSG00000029204,ENSMUSG00000035133,ENSMUSG00000045672,ENSMUSG00000027947,ENSMUSG00000008496,ENSMUSG00000045817,ENSMUSG00000030557,ENSMUSG00000014361,ENSMUSG00000020709,ENSMUSG00000032010,ENSMUSG00000055435,ENSMUSG00000020898,ENSMUSG00000000628,ENSMUSG00000037405,ENSMUSG00000026288,ENSMUSG00000025993,ENSMUSG00000028859,ENSMUSG00000022540,ENSMUSG00000025880,ENSMUSG00000000753,ENSMUSG00000003644,ENSMUSG00000023367,ENSMUSG00000037876,ENSMUSG00000048490,ENSMUSG00000019960,ENSMUSG00000016494,ENSMUSG00000003032,ENSMUSG00000051212,ENSMUSG00000041417,ENSMUSG00000018654,ENSMUSG00000066975,ENSMUSG00000022462,ENSMUSG00000048546,ENSMUSG00000034041,ENSMUSG00000022528,ENSMUSG00000034957,ENSMUSG00000022893"
"GO:BP","anatomical structure development","GO:0048856","2.2885708342047396e-8","7.640435641057015","6028","188","97","21354","ENSMUSG00000052684,ENSMUSG00000036353,ENSMUSG00000020423,ENSMUSG00000021250,ENSMUSG00000054675,ENSMUSG00000027447,ENSMUSG00000029343,ENSMUSG00000054364,ENSMUSG00000018593,ENSMUSG00000024621,ENSMUSG00000030124,ENSMUSG00000020101,ENSMUSG00000052336,ENSMUSG00000064373,ENSMUSG00000044786,ENSMUSG00000020009,ENSMUSG00000052837,ENSMUSG00000052160,ENSMUSG00000031785,ENSMUSG00000030737,ENSMUSG00000026473,ENSMUSG00000069662,ENSMUSG00000047250,ENSMUSG00000037706,ENSMUSG00000021665,ENSMUSG00000038418,ENSMUSG00000005583,ENSMUSG00000031613,ENSMUSG00000032554,ENSMUSG00000055148,ENSMUSG00000038872,ENSMUSG00000053560,ENSMUSG00000026628,ENSMUSG00000007613,ENSMUSG00000038393,ENSMUSG00000026365,ENSMUSG00000045730,ENSMUSG00000079227,ENSMUSG00000026360,ENSMUSG00000026425,ENSMUSG00000031665,ENSMUSG00000029810,ENSMUSG00000001270,ENSMUSG00000029204,ENSMUSG00000035133,ENSMUSG00000038235,ENSMUSG00000045672,ENSMUSG00000027947,ENSMUSG00000008496,ENSMUSG00000045817,ENSMUSG00000005360,ENSMUSG00000030557,ENSMUSG00000014361,ENSMUSG00000020709,ENSMUSG00000079110,ENSMUSG00000036478,ENSMUSG00000071076,ENSMUSG00000073412,ENSMUSG00000032010,ENSMUSG00000055435,ENSMUSG00000053580,ENSMUSG00000020181,ENSMUSG00000020898,ENSMUSG00000000628,ENSMUSG00000037405,ENSMUSG00000026288,ENSMUSG00000025993,ENSMUSG00000028859,ENSMUSG00000039206,ENSMUSG00000024190,ENSMUSG00000022540,ENSMUSG00000025880,ENSMUSG00000030671,ENSMUSG00000000753,ENSMUSG00000003644,ENSMUSG00000023367,ENSMUSG00000037876,ENSMUSG00000048490,ENSMUSG00000019960,ENSMUSG00000064023,ENSMUSG00000016494,ENSMUSG00000042106,ENSMUSG00000003032,ENSMUSG00000051212,ENSMUSG00000073599,ENSMUSG00000041417,ENSMUSG00000018654,ENSMUSG00000019970,ENSMUSG00000066975,ENSMUSG00000022462,ENSMUSG00000028291,ENSMUSG00000048546,ENSMUSG00000034041,ENSMUSG00000022528,ENSMUSG00000034957,ENSMUSG00000030256,ENSMUSG00000022893"
"GO:BP","leukocyte differentiation","GO:0002521","9.205374809368806e-8","7.035958523908827","571","188","25","21354","ENSMUSG00000052684,ENSMUSG00000021250,ENSMUSG00000024621,ENSMUSG00000030124,ENSMUSG00000020101,ENSMUSG00000052837,ENSMUSG00000037706,ENSMUSG00000038418,ENSMUSG00000005583,ENSMUSG00000032554,ENSMUSG00000029810,ENSMUSG00000029204,ENSMUSG00000027947,ENSMUSG00000008496,ENSMUSG00000045817,ENSMUSG00000014361,ENSMUSG00000026288,ENSMUSG00000025880,ENSMUSG00000023367,ENSMUSG00000051212,ENSMUSG00000041417,ENSMUSG00000018654,ENSMUSG00000048546,ENSMUSG00000034041,ENSMUSG00000034957"
