"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene","pct.diff","ensembl"
"52",4.72698229637282e-247,0.491215167180269,0.726,0.604,1.56827091646761e-242,"H-Microglia","Ltc4s",0.122,"ENSMUSG00000020377"
"53",2.05510054607999e-242,0.554236935753196,0.784,0.769,6.81820708172958e-238,"H-Microglia","Ier2",0.015,"ENSMUSG00000053560"
"54",5.08114938003321e-239,0.78804574699175,0.763,0.741,1.68577292981362e-234,"H-Microglia","Atf3",0.022,"ENSMUSG00000026628"
"55",2.0626457461206e-233,0.495071476563402,0.704,0.646,6.84323979190432e-229,"H-Microglia","Tgfbr1",0.0579999999999999,"ENSMUSG00000007613"
"56",2.22155630499195e-231,0.299516662504076,0.989,0.982,7.37045735307179e-227,"H-Microglia","Itm2b",0.00700000000000001,"ENSMUSG00000022108"
"57",2.97879557113578e-231,0.65410699886694,0.486,0.337,9.88275006635717e-227,"H-Microglia","Txnip",0.149,"ENSMUSG00000038393"
"58",2.27959861645504e-230,0.441355958208455,0.637,0.547,7.56302432981289e-226,"H-Microglia","Cfh",0.09,"ENSMUSG00000026365"
"59",4.85181424524778e-228,0.60735485635133,0.481,0.323,1.60968641214586e-223,"H-Microglia","Adrb2",0.158,"ENSMUSG00000045730"
"60",2.44581023850855e-226,0.307344890486627,0.922,0.917,8.11446462829981e-222,"H-Microglia","Xist",0.005,"ENSMUSG00000086503"
"61",3.22798845722551e-225,0.500216879153332,0.56,0.427,1.07094973045371e-220,"H-Microglia","Ccr5",0.133,"ENSMUSG00000079227"
"62",1.04198968236107e-223,0.430614309926961,0.712,0.652,3.45700916916932e-219,"H-Microglia","Otulinl",0.0599999999999999,"ENSMUSG00000056069"
"63",1.8064329545947e-215,0.622901656214982,0.635,0.526,5.99320261345882e-211,"H-Microglia","Rgs2",0.109,"ENSMUSG00000026360"
"64",1.19451619293064e-211,0.37835439192358,0.79,0.767,3.963046373286e-207,"H-Microglia","Lair1",0.023,"ENSMUSG00000055541"
"65",2.10067637049203e-209,0.500067194441831,0.537,0.426,6.96941399438141e-205,"H-Microglia","Ssh2",0.111,"ENSMUSG00000037926"
"66",2.29754861659768e-209,0.344497927095197,0.947,0.892,7.62257704528611e-205,"H-Microglia","Olfml3",0.0549999999999999,"ENSMUSG00000027848"
"67",3.68773830599686e-207,0.275061306166439,0.948,0.924,1.22348093778058e-202,"H-Microglia","Ly6e",0.0239999999999999,"ENSMUSG00000022587"
"68",1.82405003689534e-202,0.352510031905884,0.857,0.838,6.05165080740768e-198,"H-Microglia","Ldhb",0.019,"ENSMUSG00000030246"
"69",7.95228599288497e-199,0.514621605044401,0.456,0.31,2.63832992385945e-194,"H-Microglia","Tagap",0.146,"ENSMUSG00000033450"
"70",7.17248437895003e-197,0.465149226791961,0.537,0.433,2.37961514240425e-192,"H-Microglia","Srgap2",0.104,"ENSMUSG00000026425"
"71",3.03757291768226e-196,0.409310836660635,0.728,0.713,1.00777556689944e-191,"H-Microglia","Hpgds",0.015,"ENSMUSG00000029919"
"72",1.13079988955314e-193,0.39409301516369,0.393,0.244,3.75165479357046e-189,"H-Microglia","Sall1",0.149,"ENSMUSG00000031665"
"73",1.25960908646767e-190,0.427920553084878,0.578,0.477,4.1790050661738e-186,"H-Microglia","St3gal6",0.101,"ENSMUSG00000022747"
"74",5.06680881801064e-190,0.399439689327763,0.701,0.634,1.68101516155139e-185,"H-Microglia","Abi3",0.0669999999999999,"ENSMUSG00000018381"
"75",1.13213374064185e-189,0.33952358168725,0.823,0.754,3.75608011132745e-185,"H-Microglia","Tmem176b",0.069,"ENSMUSG00000029810"
"76",5.74949240565484e-187,0.282823449683136,0.874,0.871,1.90750909542411e-182,"H-Microglia","Ckb",0.003,"ENSMUSG00000001270"
"77",8.96576547527959e-187,0.46325912862187,0.561,0.471,2.97457201173351e-182,"H-Microglia","Rhoh",0.0900000000000001,"ENSMUSG00000029204"
"78",2.79790884504941e-181,1.00217840020413,0.489,0.356,9.28262217522043e-177,"H-Microglia","Hspa1a",0.133,"ENSMUSG00000091971"
"79",1.09580594129947e-179,0.451808176869028,0.618,0.527,3.63555537144926e-175,"H-Microglia","Herpud1",0.091,"ENSMUSG00000031770"
"80",5.10251520719438e-179,0.385091022459103,0.644,0.545,1.69286147029088e-174,"H-Microglia","Ppfia4",0.099,"ENSMUSG00000026458"
"81",1.01223121851898e-178,0.48488797315264,0.504,0.393,3.35827951368044e-174,"H-Microglia","Arhgap5",0.111,"ENSMUSG00000035133"
"82",1.21001942257608e-178,0.421886819987202,0.566,0.477,4.01448143828066e-174,"H-Microglia","Cmtm6",0.089,"ENSMUSG00000032434"
"83",2.77671140507482e-177,0.467222344073519,0.509,0.385,9.21229542861672e-173,"H-Microglia","F11r",0.124,"ENSMUSG00000038235"
"84",3.74012154424926e-173,0.437537910229945,0.49,0.377,1.24086012473558e-168,"H-Microglia","Frmd4a",0.113,"ENSMUSG00000026657"
"85",1.57619134106417e-167,0.469167512822089,0.613,0.559,5.2293300122486e-163,"H-Microglia","Clk1",0.0539999999999999,"ENSMUSG00000026034"
"86",2.1277501604741e-163,0.400668835479364,0.481,0.359,7.05923670740491e-159,"H-Microglia","Ctsf",0.122,"ENSMUSG00000083282"
"87",1.40988699653438e-160,0.367522699010085,0.666,0.644,4.67758208840211e-156,"H-Microglia","Scamp2",0.022,"ENSMUSG00000040188"
"88",2.2197857416127e-154,0.36670319110314,0.289,0.158,7.36458315494845e-150,"H-Microglia","Col27a1",0.131,"ENSMUSG00000045672"
"89",8.63226990233405e-151,0.391345820629776,0.454,0.351,2.86392818549737e-146,"H-Microglia","Pag1",0.103,"ENSMUSG00000027508"
"90",1.13642517478352e-148,0.381669801925219,0.496,0.396,3.77031780237928e-144,"H-Microglia","Sting1",0.1,"ENSMUSG00000024349"
"91",1.46802179377279e-146,0.403261017271042,0.441,0.328,4.87045590519998e-142,"H-Microglia","Il6ra",0.113,"ENSMUSG00000027947"
"92",2.0483959467109e-145,0.25782882901949,0.998,0.997,6.79596323240274e-141,"H-Microglia","Rps27",0.001,"ENSMUSG00000090733"
"93",9.83807324135862e-145,0.417752358522394,0.583,0.535,3.26397755928555e-140,"H-Microglia","Ivns1abp",0.0479999999999999,"ENSMUSG00000023150"
"94",1.13376154342769e-143,0.257824687170271,0.186,0.076,3.76148067263004e-139,"H-Microglia","Abca9",0.11,"ENSMUSG00000041797"
"95",1.19444112513243e-143,0.380542953686914,0.618,0.569,3.96279732085188e-139,"H-Microglia","Pou2f2",0.049,"ENSMUSG00000008496"
"96",7.85800971891335e-143,0.406587252778214,0.526,0.435,2.60705188444388e-138,"H-Microglia","Susd3",0.091,"ENSMUSG00000021384"
"97",2.6256594477829e-139,0.344264057474105,0.714,0.688,8.71115034990933e-135,"H-Microglia","Bin2",0.026,"ENSMUSG00000098112"
"98",2.3549448689753e-138,0.335162898178234,0.686,0.683,7.81300059179937e-134,"H-Microglia","Cyth4",0.003,"ENSMUSG00000018008"
"99",3.98527766349236e-138,0.526103368519002,0.493,0.411,1.32219557041686e-133,"H-Microglia","Zfp36l2",0.082,"ENSMUSG00000045817"
"100",1.6846533303681e-137,0.405414465188316,0.372,0.255,5.58917435416225e-133,"H-Microglia","Entpd1",0.117,"ENSMUSG00000048120"
"101",1.61349783075975e-134,0.326537382756386,0.289,0.166,5.35310175311161e-130,"H-Microglia","Slc1a3",0.123,"ENSMUSG00000005360"
"102",6.1359520332832e-134,0.46862336356472,0.628,0.602,2.03572480608237e-129,"H-Microglia","Ccnl1",0.026,"ENSMUSG00000027829"
"103",8.11655701336755e-132,0.326244540407181,0.798,0.773,2.69283012032495e-127,"H-Microglia","Rnase4",0.025,"ENSMUSG00000021876"
