	p_val	avg_logFC	pct.1	pct.2	p_val_adj
Pmm1	0	0.312835828564685	0.352	0.116	0
Anapc11	0	0.312755870676606	0.68	0.469	0
Spef1	0	0.312668141035471	0.26	0.022	0
Trim35	0	0.312459027418856	0.443	0.192	0
Drc7	0	0.312446689350857	0.231	0.002	0
Megf11	0	0.312058460580125	0.212	0.004	0
Ndufc1	0	0.311935042398924	0.804	0.622	0
Phkg1	0	0.311609773007568	0.227	0.009	0
Irak1bp1	0	0.311598532170131	0.309	0.032	0
Arvcf	0	0.311508794124926	0.253	0.026	0
Polr2i	0	0.311197127937086	0.581	0.341	0
Fam168a	0	0.310826130815466	0.361	0.142	0
Cdk2ap1	0	0.310498219812516	0.413	0.177	0
Mir100hg	0	0.310440452664223	0.197	0.011	0
Rnf5	0	0.310422943787839	0.485	0.256	0
Tagln3	0	0.31038550192581	0.23	0.03	0
Ndst1	0	0.309967316927515	0.286	0.081	0
Rlbp1	0	0.309869486577912	0.154	0.003	0
Tigd2	0	0.309803719703495	0.388	0.203	0
Srebf2	0	0.309297485473753	0.391	0.131	0
Nin	0	0.309251035608153	0.292	0.1	0
Smarcd1	0	0.309186330473342	0.361	0.105	0
Tmx2	0	0.308787418894529	0.43	0.17	0
Tia1	0	0.308679534986497	0.418	0.164	0
Phldb1	0	0.308092480076554	0.303	0.062	0
Tead1	0	0.308002903597247	0.27	0.058	0
Col9a3	0	0.307946971022592	0.18	0.007	0
Aktip	0	0.307795422933734	0.415	0.141	0
Oard1	0	0.307541980138414	0.405	0.181	0
Slco3a1	0	0.307336585936921	0.247	0.033	0
1700025G04Rik	0	0.307118745591085	0.256	0.055	0
Nsg2	0	0.306737204554607	0.264	0.014	0
Oxr1	0	0.306652392081097	0.364	0.144	0
Cttn	0	0.306157239622188	0.393	0.117	0
Ormdl3	0	0.30605157012326	0.4	0.139	0
Irx5	0	0.305998340701069	0.249	0.003	0
Slc14a2	0	0.305594749907854	0.203	0.002	0
Gas2l1	0	0.305392290273898	0.334	0.108	0
Lrrn1	0	0.305320472606226	0.201	0.009	0
Sf3b6	0	0.305271571337817	0.722	0.552	0
Snrnp70	0	0.305215360831857	0.661	0.462	0
Gm47283	0	0.304678043340467	0.416	0.237	0
Rdx	0	0.304325099816235	0.659	0.442	0
Dbp	0	0.304276875934271	0.308	0.096	0
Haghl	0	0.30395806436913	0.379	0.12	0
Pnn	0	0.303883286693852	0.516	0.31	0
Dgcr6	0	0.30371399290973	0.464	0.195	0
Hsd17b12	0	0.303690631896533	0.569	0.403	0
Usp9x	0	0.303464389344136	0.461	0.259	0
Aldh1a1	0	0.302896825210214	0.175	0.018	0
Sfr1	0	0.302583380086922	0.704	0.539	0
Cfap97d2	0	0.302390004366826	0.229	0.004	0
Clpp	0	0.302289876366231	0.494	0.235	0
Mbnl2	0	0.301880527487822	0.551	0.401	0
Fgfr3	0	0.301815360022569	0.169	0.017	0
Srrm2	0	0.301554611272136	0.828	0.708	0
Ndufb3	0	0.301103449476835	0.75	0.57	0
Xylt1	0	0.300700643673654	0.169	0.056	0
Hipk2	0	0.300611429367573	0.345	0.121	0
Ube3a	0	0.300486053570118	0.538	0.34	0
Hcfc1r1	0	0.300423681393657	0.614	0.431	0
Marcksl1	0	0.30038437566896	0.601	0.387	0
Hp1bp3	0	0.300204410611864	0.53	0.29	0
Gdi1	0	0.29999784066964	0.459	0.196	0
Lrrc23	0	0.29986203049004	0.224	0.003	0
Ddx1	0	0.299780165885816	0.466	0.213	0
Fa2h	0	0.299484596282553	0.146	0.008	0
Cdo1	0	0.299203268924856	0.24	0.05	0
Srebf1	0	0.298996731545499	0.307	0.084	0
Spats2l	0	0.298935903222304	0.277	0.014	0
Arl2	0	0.298619877556139	0.406	0.217	0
Morn2	0	0.298533012452908	0.332	0.088	0
Epdr1	0	0.298092285779176	0.286	0.036	0
Nrxn3	0	0.298067683377609	0.165	0.01	0
Insig1	0	0.298002531321448	0.311	0.16	0
Gria4	0	0.297941700664981	0.16	0.006	0
Ppil6	0	0.297924297216889	0.236	0.005	0
Serinc5	0	0.297630303554107	0.281	0.064	0
Cxcl14	0	0.297580300939722	0.253	0.121	0
Ndufs7	0	0.297404508911298	0.76	0.581	0
Sdha	0	0.297340240735509	0.628	0.416	0
Pdha1	0	0.297278447036298	0.469	0.236	0
Mapk15	0	0.297073247748654	0.23	0.003	0
Gtf2i	0	0.296737274851579	0.451	0.201	0
Vdac1	0	0.296503738380873	0.678	0.501	0
Lrrtm3	0	0.296501254139244	0.18	0.006	0
Cdk4	0	0.296447772821042	0.618	0.46	0
Ndufb11	0	0.296415131298102	0.833	0.696	0
Tmem147	0	0.2962484065004	0.649	0.463	0
Sod3	0	0.296235246760641	0.265	0.043	0
Ruvbl2	0	0.296178578510338	0.409	0.166	0
6820408C15Rik	0	0.296139198964703	0.221	0.002	0
Emc10	0	0.296013039007735	0.655	0.504	0
Cuedc1	0	0.295523147669516	0.324	0.057	0
Golga7	0	0.295362538271083	0.532	0.35	0
Vldlr	0	0.295308963904012	0.233	0.007	0
Hotairm1	0	0.2951285616715	0.278	0.023	0
