""	"p.value"	"FDR"	"gene"	"cluster"
"Rps16"	7.83375603579704e-35	1.36789749473493e-31	"Rps16"	"C8"
"Rps7"	1.76426418116746e-34	2.92664963692963e-31	"Rps7"	"C8"
"Rps9"	6.50686322880757e-34	1.02799143496261e-30	"Rps9"	"C8"
"Rpl10"	1.18799358745763e-33	1.79154832959461e-30	"Rpl10"	"C8"
"Rpl4"	6.49518376740884e-33	9.36916138484011e-30	"Rpl4"	"C8"
"Rpl8"	6.95127220180325e-33	9.60926490996777e-30	"Rpl8"	"C8"
"Lsp1"	2.25826737339257e-31	2.99690146588181e-28	"Lsp1"	"C8"
"Rpl18"	1.32742841616823e-30	1.69384971396974e-27	"Rpl18"	"C8"
"H2-DMb2"	2.3463583569847e-30	2.88315300776597e-27	"H2-DMb2"	"C8"
"Plbd1"	2.43064975864473e-29	2.88005953723415e-26	"Plbd1"	"C8"
"Atox1"	1.69138535716088e-28	1.93500317222506e-25	"Atox1"	"C8"
"Rpl34"	2.60132528337119e-28	2.87680563088021e-25	"Rpl34"	"C8"
"Rps19"	5.17317583387388e-25	5.53646627872368e-22	"Rps19"	"C8"
"Rps11"	6.81537822046663e-24	7.06605635063817e-21	"Rps11"	"C8"
"Rps5"	1.23921725836142e-23	1.24586396911081e-20	"Rps5"	"C8"
"Fau"	2.80660276302003e-23	2.73866646672693e-20	"Fau"	"C8"
"Rps4x"	4.24442134033037e-22	4.02334762308973e-19	"Rps4x"	"C8"
"Eif3k"	1.44560518061429e-21	1.33224564103445e-18	"Eif3k"	"C8"
"Rps18"	1.86364314879883e-21	1.67108347966754e-18	"Rps18"	"C8"
"Rps3"	5.32637588225963e-21	4.65034664857178e-18	"Rps3"	"C8"
"Cd209a"	1.02079726469735e-20	8.68384380791384e-18	"Cd209a"	"C8"
"Rpl9"	2.48806737897403e-20	2.06366528580554e-17	"Rpl9"	"C8"
"Rps27a"	3.25044816125049e-19	2.63024679623922e-16	"Rps27a"	"C8"
"Rps15a"	1.52807575366071e-18	1.20707069712384e-15	"Rps15a"	"C8"
"Gpr132"	3.06965052483875e-18	2.36841384796685e-15	"Gpr132"	"C8"
"Nr4a1"	1.34104190600943e-17	1.01117607535625e-14	"Nr4a1"	"C8"
"Klrd1"	2.99793407275541e-17	2.2102768607068e-14	"Klrd1"	"C8"
"Sub1"	6.96125916961655e-17	5.0207325102254e-14	"Sub1"	"C8"
"Ccnd2"	9.2191648050063e-17	6.50774959012114e-14	"Ccnd2"	"C8"
"Rpl26"	1.89222852565103e-16	1.30788470407342e-13	"Rpl26"	"C8"
"Rpl19"	6.77398862764284e-15	4.58654327957768e-12	"Rpl19"	"C8"
"Rpl21"	1.28588076346421e-14	8.53233321789043e-12	"Rpl21"	"C8"
"Rpl35a"	2.3258301426339e-14	1.51302091455225e-11	"Rpl35a"	"C8"
"Rpl39"	5.75063473025224e-14	3.66901554703036e-11	"Rpl39"	"C8"
"Itgb7"	1.51553636342394e-13	9.48697168477662e-11	"Itgb7"	"C8"
"H2-Oa"	1.8341250376304e-13	1.12686604395303e-10	"H2-Oa"	"C8"
"Rps27rt"	5.7186797284514e-13	3.44961158819694e-10	"Rps27rt"	"C8"
"Rps23"	1.07853000565124e-12	6.38971249955202e-10	"Rps23"	"C8"
"Syngr2"	1.49659915350589e-12	8.63456024896106e-10	"Syngr2"	"C8"
"Il2rg"	1.50949300551509e-12	8.63456024896106e-10	"Il2rg"	"C8"
"Rps28"	8.02422695605205e-12	4.5121996223888e-09	"Rps28"	"C8"
"P2ry10"	1.8318619970576e-11	1.012928091273e-08	"P2ry10"	"C8"
"Nop53"	2.27242193864898e-11	1.23593676489438e-08	"Nop53"	"C8"
"Pmaip1"	4.11066291033747e-11	2.19966876413332e-08	"Pmaip1"	"C8"
"Tnip3"	5.23264223558967e-11	2.75560907063744e-08	"Tnip3"	"C8"
"Ifi30"	6.12226759326351e-11	3.17372612408911e-08	"Ifi30"	"C8"
"Rnase6"	6.60858299550911e-11	3.37312243141548e-08	"Rnase6"	"C8"
"Rps24"	8.2034945103081e-11	4.12374753588625e-08	"Rps24"	"C8"
"Avpi1"	1.89300096789672e-10	9.37374524058352e-08	"Avpi1"	"C8"
"Tspan13"	2.92276825054158e-10	1.42601003306203e-07	"Tspan13"	"C8"
"Rps15"	6.4517411329356e-10	3.10216544300586e-07	"Rps15"	"C8"
"Cbfa2t3"	1.03232671073169e-09	4.89278618313507e-07	"Cbfa2t3"	"C8"
"Btf3"	1.22675310764538e-09	5.73239265526069e-07	"Btf3"	"C8"
"Rpl14"	1.31264881709078e-09	6.0485763617529e-07	"Rpl14"	"C8"
"Rps13"	2.54518514052742e-09	1.14352492379058e-06	"Rps13"	"C8"
"Itgax"	2.55532036176687e-09	1.14352492379058e-06	"Itgax"	"C8"
"Rplp2"	2.5850549864151e-09	1.14352492379058e-06	"Rplp2"	"C8"
"Klrk1"	2.97344041063909e-09	1.29802411189175e-06	"Klrk1"	"C8"
"Lsr"	3.07089159321498e-09	1.32315545958563e-06	"Lsr"	"C8"
"Rpl35"	5.29876967185825e-09	2.25381130004156e-06	"Rpl35"	"C8"
"H2-Ob"	7.93384706497993e-09	3.33191448195999e-06	"H2-Ob"	"C8"
"Rpl6"	8.98919666164925e-09	3.72793222054421e-06	"Rpl6"	"C8"
"Ndufa6"	2.00684105859086e-08	8.21987232109492e-06	"Ndufa6"	"C8"
"Rpl3"	2.28818118201944e-08	9.25792525315355e-06	"Rpl3"	"C8"
"Grasp"	3.38541426462428e-08	1.3532275790053e-05	"Grasp"	"C8"
"Sh3bgrl3"	3.78893514741922e-08	1.49649406411818e-05	"Sh3bgrl3"	"C8"
"Rps25"	4.72409571484721e-08	1.84389792389983e-05	"Rps25"	"C8"
"Rel"	7.89263061911221e-08	3.04481169825914e-05	"Rel"	"C8"
"Ddit4"	2.39224130184178e-07	9.12268846795456e-05	"Ddit4"	"C8"
"Traf1"	2.5005227699221e-07	9.42725499292108e-05	"Traf1"	"C8"
"Ccdc12"	2.75326580527888e-07	0.000101707231940087	"Ccdc12"	"C8"
"Rpl32"	2.75903513717572e-07	0.000101707231940087	"Rpl32"	"C8"
"Rpl41"	2.85510853292573e-07	0.000104092237139425	"Rpl41"	"C8"
"Ikbkb"	3.48009934761473e-07	0.000125499191365015	"Ikbkb"	"C8"
"Qpct"	4.76250425111538e-07	0.000169898498429306	"Qpct"	"C8"
"Eif3e"	5.3809396314853e-07	0.000189918546972114	"Eif3e"	"C8"
