""	"p.value"	"FDR"	"gene"	"cluster"
"Fbxo5"	7.55271894823879e-07	0.000269437157576041	"Fbxo5"	"C10"
"Nt5c3"	8.17156333574336e-07	0.000288412719989317	"Nt5c3"	"C10"
"Tma7"	8.47229580423284e-07	0.00029587932410214	"Tma7"	"C10"
"Rgs18"	8.68244621458571e-07	0.000300059914647198	"Rgs18"	"C10"
"Cox7a2"	9.02259628986272e-07	0.000308600698050284	"Cox7a2"	"C10"
"Psip1"	1.21356868818237e-06	0.000408793166277598	"Psip1"	"C10"
"Rab5if"	1.21983673814637e-06	0.000408793166277598	"Rab5if"	"C10"
"Rab24"	1.45140002940798e-06	0.000481530987756685	"Rab24"	"C10"
"Smc2"	1.50719871263109e-06	0.000495092392960016	"Smc2"	"C10"
"Cox5a"	1.52783747979182e-06	0.000496951608500522	"Cox5a"	"C10"
"Mrps16"	1.74257129798827e-06	0.000557542835291304	"Mrps16"	"C10"
"Ppp1cc"	1.74773050216402e-06	0.000557542835291304	"Ppp1cc"	"C10"
"Kpna2"	2.19162203993367e-06	0.000692489946846469	"Kpna2"	"C10"
"Sumo2"	2.37778508831965e-06	0.000742022997407801	"Sumo2"	"C10"
"Dtymk"	2.3931175429555e-06	0.000742022997407801	"Dtymk"	"C10"
"Ccnd3"	2.49784912917642e-06	0.000767325375543391	"Ccnd3"	"C10"
"Hnrnpab"	2.61860364353232e-06	0.000792847146434001	"Hnrnpab"	"C10"
"Tagln2"	2.62872430020014e-06	0.000792847146434001	"Tagln2"	"C10"
"Acot7"	2.73690064692659e-06	0.000818037412280032	"Acot7"	"C10"
"Pf4"	8.22642000706379e-81	2.72927936574352e-76	"Pf4"	"C11"
"Fcgrt"	4.99796230228712e-46	8.290869765149e-42	"Fcgrt"	"C11"
"Mrc1"	2.17099745096762e-45	2.40090608102511e-41	"Mrc1"	"C11"
"Stab1"	6.26730174289413e-44	5.19825674809996e-40	"Stab1"	"C11"
"Selenop"	5.40331897228767e-43	3.58531827087176e-39	"Selenop"	"C11"
"Maf"	4.44234694669345e-42	2.45639574417416e-38	"Maf"	"C11"
"Ms4a6b"	2.91556262057484e-40	1.38185172946873e-36	"Ms4a6b"	"C11"
"Folr2"	8.34466146997342e-36	3.46063541986634e-32	"Folr2"	"C11"
"Cbr2"	1.12293567737134e-34	4.13951521868318e-31	"Cbr2"	"C11"
"Serpinb6a"	2.09553519222227e-20	6.95235710723581e-17	"Serpinb6a"	"C11"
"Snx2"	3.49050976211446e-20	9.78406893768238e-17	"Snx2"	"C11"
"Mt1"	3.53886208072425e-20	9.78406893768238e-17	"Mt1"	"C11"
"Nrp1"	4.73649961913439e-19	1.20879113741555e-15	"Nrp1"	"C11"
"Igfbp4"	9.51768001359232e-19	2.25548621293537e-15	"Igfbp4"	"C11"
"F13a1"	2.66095296835445e-18	5.88549577540639e-15	"F13a1"	"C11"
"Ap2a2"	6.29178556520017e-17	1.30464106060404e-13	"Ap2a2"	"C11"
"Gas6"	6.48983130202657e-16	1.26654784180786e-12	"Gas6"	"C11"
"Cd38"	8.29169230442871e-16	1.52829708657795e-12	"Cd38"	"C11"
"Pltp"	7.99193141447802e-14	1.39551741335862e-10	"Pltp"	"C11"
"Dab2"	1.29093684382334e-13	2.14147058337634e-10	"Dab2"	"C11"
"Blvrb"	3.35685147426953e-13	5.30334577913525e-10	"Blvrb"	"C11"
"Ptpn18"	6.77248336755775e-13	1.02132127584302e-09	"Ptpn18"	"C11"
"Clec4a1"	4.4093595321554e-12	6.36040526949217e-09	"Clec4a1"	"C11"
"Cd163"	1.22037549471627e-11	1.6870165745084e-08	"Cd163"	"C11"
"Ccl7"	6.02621935459006e-11	7.99727518108936e-08	"Ccl7"	"C11"
"Cd36"	6.49971396259861e-11	8.02994080381834e-08	"Cd36"	"C11"
"Cltc"	6.53490073554255e-11	8.02994080381834e-08	"Cltc"	"C11"
"Mt2"	7.36271678183476e-11	8.72403052396184e-08	"Mt2"	"C11"
"Wwp1"	2.99182430548348e-10	3.42275017182846e-07	"Wwp1"	"C11"
"Adgre1"	7.17570743721898e-10	7.93561485482048e-07	"Adgre1"	"C11"
"Snx6"	1.6637541203551e-09	1.78059259519423e-06	"Snx6"	"C11"
"Ms4a6c"	3.01070416063888e-09	3.12144162304738e-06	"Ms4a6c"	"C11"
"Smagp"	3.384735807541e-09	3.40289029959964e-06	"Smagp"	"C11"
"Tsc22d3"	4.47804331476149e-09	4.36964832511299e-06	"Tsc22d3"	"C11"
"C4b"	2.68637101677326e-08	2.54644946352818e-05	"C4b"	"C11"
"P2rx7"	2.77844155487504e-08	2.56056542961359e-05	"P2rx7"	"C11"
"Ltc4s"	2.96626034531254e-08	2.65977349936308e-05	"Ltc4s"	"C11"
"Hspa1a"	6.55688234524898e-08	5.72467593600856e-05	"Hspa1a"	"C11"
"Ms4a6d"	4.91372454526409e-07	0.000418006767277504	"Ms4a6d"	"C11"
"Stard8"	7.31477952068776e-07	0.000606706100394645	"Stard8"	"C11"
"Hgsnat"	1.09746376580763e-06	0.00088806232580975	"Hgsnat"	"C11"
