"Pair_name"	"Score"	"pval"	"adj_pval"	"Ligand_cell"	"Receptor_cell"	"split_by"	"Ligand"	"Receptor"	"Ligand_avgExp"	"Receptor_avgExp"	"Ligand_pct"	"Receptor_pct"	"Cell_pair"	"LR_pair"	"Ligand_cell_pct"	"Receptor_cell_pct"
"24"	"Adam12_Itga9"	0.00680793567960528	1	1	"Macrophage-A"	"Astrocyte"	"1dpi"	"Adam12"	"Itga9"	0	0.0136158713592106	"0.000"	"0.016"	"Macrophage-A_Astrocyte"	"Adam12_Itga9"	22.5	55.8
"25"	"Adam12_Itga9"	0.00542152706733535	1	1	"Macrophage-B"	"Fibroblast"	"3dpi"	"Adam12"	"Itga9"	0.00122196108880609	0.00962109304586461	"0.002"	"0.019"	"Macrophage-B_Fibroblast"	"Adam12_Itga9"	51	18.7
"26"	"Adam12_Itga9"	0.00569490314075939	1	1	"Macrophage-A"	"Fibroblast"	"3dpi"	"Adam12"	"Itga9"	0.00176871323565416	0.00962109304586461	"0.003"	"0.019"	"Macrophage-A_Fibroblast"	"Adam12_Itga9"	58.1	18.7
"27"	"Adam12_Itga9"	0.0140856667895495	0.989	1	"Macrophage-B"	"Astrocyte"	"3dpi"	"Adam12"	"Itga9"	0.00122196108880609	0.0269493724902929	"0.002"	"0.024"	"Macrophage-B_Astrocyte"	"Adam12_Itga9"	51	20.7
"28"	"Adam12_Itga9"	0.0143590428629735	0.995	1	"Macrophage-A"	"Astrocyte"	"3dpi"	"Adam12"	"Itga9"	0.00176871323565416	0.0269493724902929	"0.003"	"0.024"	"Macrophage-A_Astrocyte"	"Adam12_Itga9"	58.1	20.7
"29"	"Adam12_Itga9"	0.0175455252365054	0.99	1	"Macrophage-B"	"Fibroblast"	"7dpi"	"Adam12"	"Itga9"	0.00236459736499371	0.0327264531080172	"0.004"	"0.041"	"Macrophage-B_Fibroblast"	"Adam12_Itga9"	47.3	34.5
"30"	"Adam12_Itga9"	0.0172006370163665	0.988	1	"Macrophage-A"	"Fibroblast"	"7dpi"	"Adam12"	"Itga9"	0.00167482092471578	0.0327264531080172	"0.003"	"0.041"	"Macrophage-A_Fibroblast"	"Adam12_Itga9"	19.5	34.5
"31"	"Adam12_Itga9"	0.00118229868249685	1	1	"Macrophage-B"	"Astrocyte"	"7dpi"	"Adam12"	"Itga9"	0.00236459736499371	0	"0.004"	"0.000"	"Macrophage-B_Astrocyte"	"Adam12_Itga9"	47.3	12.3
"32"	"Adam12_Itga9"	0.000837410462357888	1	1	"Macrophage-A"	"Astrocyte"	"7dpi"	"Adam12"	"Itga9"	0.00167482092471578	0	"0.003"	"0.000"	"Macrophage-A_Astrocyte"	"Adam12_Itga9"	19.5	12.3
"33"	"Adam12_Itgb1"	0.399613507215849	0.08	0.215	"Macrophage-B"	"Fibroblast"	"Uninjured"	"Adam12"	"Itgb1"	0	0.799227014431697	"0.000"	"0.561"	"Macrophage-B_Fibroblast"	"Adam12_Itgb1"	0.1	6.8
"34"	"Adam12_Itgb1"	0.399613507215849	0.047	0.215	"Macrophage-A"	"Fibroblast"	"Uninjured"	"Adam12"	"Itgb1"	0	0.799227014431697	"0.000"	"0.561"	"Macrophage-A_Fibroblast"	"Adam12_Itgb1"	0	6.8
"35"	"Adam12_Itgb1"	0.129618843796803	1	1	"Macrophage-B"	"Astrocyte"	"Uninjured"	"Adam12"	"Itgb1"	0	0.259237687593605	"0.000"	"0.225"	"Macrophage-B_Astrocyte"	"Adam12_Itgb1"	0.1	11.2
"36"	"Adam12_Itgb1"	0.129618843796803	1	1	"Macrophage-A"	"Astrocyte"	"Uninjured"	"Adam12"	"Itgb1"	0	0.259237687593605	"0.000"	"0.225"	"Macrophage-A_Astrocyte"	"Adam12_Itgb1"	0	11.2
